name,ecosystem,purl,owner,owner_kind,owner_name,repository_url,description,latest_version,versions_count,first_release_at,latest_release_at,downloads,downloads_period,dependent_packages_count,dependent_repos_count,forks_count,open_issues_count,archived,fork,repo_size,total_committers,active_maintainer_count,dds,has_security_md,has_code_of_conduct,has_contributing,governance_files_count,advisory_count,max_cvss_score,max_epss_percentage,licenses,rankings_average,criticality,support_tier,health,substitutability,risk
golang.org/x/crypto,go,pkg:golang/golang.org/x/crypto,,,,,,v0.51.0,51,2022-10-19T16:43:05.000Z,2026-05-08T18:32:18.000Z,,,125672,269003,,,False,False,,,0,,False,False,False,0,12,9.1,0.30296,BSD-3-Clause,0.0004338546259679543,0.9999,sole_maintainer,0.3734,0.0952,0.6265
golang.org/x/net,go,pkg:golang/golang.org/x/net,,,,https://cs.opensource.google/go/x/net,,v0.54.0,54,2022-10-19T15:28:41.000Z,2026-05-08T20:02:48.000Z,,,112044,276704,,,False,False,,,0,,False,False,False,0,18,7.5,0.944,BSD-3-Clause,0.00031109940455573967,0.9999,sole_maintainer,0.3735,0.0952,0.6264
golang.org/x/sync,go,pkg:golang/golang.org/x/sync,,,,,,v0.20.0,20,2022-09-29T20:41:14.000Z,2026-02-23T18:54:42.000Z,,,48746,216924,,,False,False,,,0,,False,False,False,0,0,,,BSD-3-Clause,0.0017974632263220514,0.9996,sole_maintainer,0.3566,0.0966,0.6431
commons-io:commons-io,maven,pkg:maven/commons-io/commons-io,,,,https://gitbox.apache.org/repos/asf?p=commons-parent.git,"The Apache Commons IO library contains utility classes, stream implementations, file filters, file comparators, endian transformation classes, and much more.",2.22.0,35,2005-11-08T22:29:08.000Z,2026-04-19T12:01:24.000Z,,,21919,245203,,,False,False,,,0,,False,False,False,0,2,8.7,0.00485,Apache-2.0,0.0016697389864016457,0.9996,sole_maintainer,0.369,0.4,0.6307
org.apache.commons:commons-lang3,maven,pkg:maven/org.apache.commons/commons-lang3,,,,https://gitbox.apache.org/repos/asf/commons-lang.git,"Apache Commons Lang, a package of Java utility classes for the classes that are in java.lang's hierarchy, or are considered to be so standard as to justify existence in java.lang. The code is tested using the latest revision of the JDK for supported LTS releases: 8, 11, 17, 21 and 25 currently. See https://github.com/apache/commons-lang/blob/master/.github/workflows/maven.yml Please ensure your build environment is up-to-date and kindly report any build issues.",3.20.0,26,2011-07-19T03:36:05.000Z,2025-11-12T20:08:07.000Z,,,22625,227695,,,False,False,,,0,,False,False,False,0,1,6.5,0.00135,Apache-2.0,0.0017363928575483336,0.9996,sole_maintainer,0.3331,0.3953,0.6666
golang.org/x/oauth2,go,pkg:golang/golang.org/x/oauth2,,,,,"Package oauth2 provides support for making
OAuth2 authorized and authenticated HTTP requests,
as specified in RFC 6749.
It can additionally grant authorization with Bearer JWT.",v0.36.0,36,2022-10-19T16:27:24.000Z,2026-02-11T19:14:10.000Z,,,36322,163003,,,False,False,,,0,,False,False,False,0,1,7.5,0.00125,BSD-3-Clause,0.00241965199873625,0.9995,sole_maintainer,0.3538,0.0952,0.6459
golang.org/x/term,go,pkg:golang/golang.org/x/term,,,,https://cs.opensource.google/go/x/term,"Package term provides support functions for dealing with terminals, as
commonly found on UNIX systems.

Putting a terminal into raw mode is the most common requirement:

Note that on non-Unix systems os.Stdin.Fd() may not be 0.",v0.43.0,43,2022-09-19T17:04:32.000Z,2026-05-08T14:56:58.000Z,,,30257,160030,,,False,False,,,0,,False,False,False,0,0,,,BSD-3-Clause,0.0038363745164712343,0.9992,sole_maintainer,0.3734,0.0974,0.6261
golang.org/x/time,go,pkg:golang/golang.org/x/time,,,,,,v0.15.0,15,2022-09-22T22:03:47.000Z,2026-02-11T19:14:29.000Z,,,38441,138657,,,False,False,,,0,,False,False,False,0,0,,,BSD-3-Clause,0.003836892656187456,0.9992,sole_maintainer,0.3538,0.0972,0.6457
golang.org/x/xerrors,go,pkg:golang/golang.org/x/xerrors,,,,https://cs.opensource.google/go/x/xerrors,"Package xerrors implements functions to manipulate errors.

This package is based on the Go 2 proposal for error values:

https://go.dev/design/29934-error-values

These functions were incorporated into the standard library's errors package
in Go 1.13:
- Is
- As
- Unwrap

Also, Errorf's %w verb was incorporated into fmt.Errorf.

No other features of this package were included in Go 1.13, and at present
there are no plans to include any of them.",v0.0.0-20240903120638-7835f813f4da,15,2019-01-31T21:35:33.000Z,2024-09-03T12:06:38.000Z,,,29580,206048,,,False,False,,,0,,False,False,False,0,0,,,BSD-3-Clause,0.005851993835899826,0.9987,sole_maintainer,0.2338,0.1943,0.7652
react-is,npm,pkg:npm/react-is,facebook,organization,Meta,https://github.com/facebook/react,Brand checking of React Elements.,19.2.4,2573,2019-08-01T02:09:34.966Z,2026-01-26T18:23:31.197Z,814091899,last-month,10364,2549171,50968,1234,False,False,963720,1848,13,0.9065162465479758,True,True,True,3,0,,,MIT,0.006447951071140203,0.9986,commercial,0.9518,0.7704,0.0481
commons-lang:commons-lang,maven,pkg:maven/commons-lang/commons-lang,,,,http://svn.apache.org/viewvc/commons/proper/lang/branches/LANG_2_X,"Commons Lang, a package of Java utility classes for the classes that are in java.lang's hierarchy, or are considered to be so standard as to justify existence in java.lang.",1.0.1,11,2005-11-08T22:31:32.000Z,2005-11-24T05:20:21.000Z,,,9449,103016,,,False,False,,,0,,False,False,False,0,1,6.5,0.00135,"Apache-2.0,Apache-2.0",0.007480430659079373,0.9984,sole_maintainer,0.125,0.4,0.8736
commons-logging:commons-logging,maven,pkg:maven/commons-logging/commons-logging,,,,https://gitbox.apache.org/repos/asf/commons-logging,"Apache Commons Logging is a thin adapter allowing configurable bridging to other, well-known logging systems.",1.3.6,17,2005-11-08T22:16:41.000Z,2026-03-04T23:08:19.000Z,,,8711,84895,,,False,False,,,0,,False,False,False,0,0,,,Apache-2.0,0.0072132724212551095,0.9984,sole_maintainer,0.3587,0.4,0.6403
